workspace_storage_id,session_id,project_path,project_name,event_type,event_name,model,debug_name,ts_ms,ts_iso,dur_ms,input_tokens,output_tokens,cached_tokens,copilot_usage_nano_aiu,credits,usd_estimate_1c_per_credit
e8561d896f674e15dd4cd016fdc4edd1,ebf4980b-d94b-4a88-8a20-3366a6c74bd4,None,None,llm_request,chat:gpt-5.3-codex,gpt-5.3-codex,panel/editAgent,1781206246505,2026-06-11T19:30:46.505000+00:00,5406,22873,282,8704,2724025500,2.7240255,0.027240255
e8561d896f674e15dd4cd016fdc4edd1,4d842a79-fb37-4eab-b413-9a561191907e,/home/arne/projects/eos,eos,llm_request,chat:vscode-agentic-search-router-a,vscode-agentic-search-router-a,searchSubagentTool,1781206252166,2026-06-11T19:30:52.166000+00:00,7054,1556,271,1458,,,
e8561d896f674e15dd4cd016fdc4edd1,4d842a79-fb37-4eab-b413-9a561191907e,/home/arne/projects/eos,eos,llm_request,chat:vscode-agentic-search-router-a,vscode-agentic-search-router-a,searchSubagentTool,1781206261116,2026-06-11T19:31:01.116000+00:00,5098,11601,362,1555,,,
e8561d896f674e15dd4cd016fdc4edd1,4d842a79-fb37-4eab-b413-9a561191907e,/home/arne/projects/eos,eos,llm_request,chat:vscode-agentic-search-router-a,vscode-agentic-search-router-a,searchSubagentTool,1781206268683,2026-06-11T19:31:08.683000+00:00,3373,27944,296,11600,,,
